,Unnamed: 0,Seat,State,Name,LQ Score,Year,Party
0,0,4,ALABAMA,Aderholt,0,2010,R
1,1,6,ALABAMA,Bachus S.,0,2010,R
2,2,1,ALABAMA,Bonner,0,2010,R
3,3,2,ALABAMA,Bright,10,2010,D
4,4,7,ALABAMA,Davis A.,55,2010,D
5,5,5,ALABAMA,Griffi th,0,2010,R
6,6,3,ALABAMA,Rogers Mike,5,2010,R
7,7,1,ALASKA,Young D.,10,2010,R
8,8,6,ARIZONA,Flake,10,2010,R
9,9,2,ARIZONA,Franks T.,5,2010,R
10,10,8,ARIZONA,Giffords,75,2010,D
11,11,7,ARIZONA,Grijalva,90,2010,D
12,12,1,ARIZONA,Kirkpatrick,60,2010,D
13,13,5,ARIZONA,Mitchell,60,2010,D
14,14,4,ARIZONA,Pastor,85,2010,D
15,15,3,ARIZONA,Shadegg,5,2010,R
16,16,1,ARKANSAS,Berry,25,2010,D
17,17,3,ARKANSAS,Boozman,0,2010,R
18,18,4,ARKANSAS,Ross M.,45,2010,D
19,19,2,ARKANSAS,Snyder,80,2010,D
20,20,43,CALIFORNIA,Baca,90,2010,D
21,21,31,CALIFORNIA,Becerra,95,2010,D
22,22,28,CALIFORNIA,Berman,90,2010,D
23,23,50,CALIFORNIA,Bilbray,15,2010,R
24,24,45,CALIFORNIA,Bono Mack,20,2010,R
25,25,44,CALIFORNIA,Calvert,0,2010,R
26,26,48,CALIFORNIA,Campbell,10,2010,R
27,27,23,CALIFORNIA,Capps,95,2010,D
28,28,18,CALIFORNIA,Cardoza,75,2010,D
29,29,32,CALIFORNIA,Chu,100,2010,D
30,30,20,CALIFORNIA,Costa,70,2010,D
31,31,53,CALIFORNIA,Davis S.,90,2010,D
32,32,26,CALIFORNIA,Dreier,5,2010,R
33,33,14,CALIFORNIA,Eshoo,95,2010,D
34,34,17,CALIFORNIA,Farr,90,2010,D
35,35,51,CALIFORNIA,Filner,100,2010,D
36,36,24,CALIFORNIA,Gallegly,0,2010,R
37,37,10,CALIFORNIA,Garamendi,100,2010,D
38,38,36,CALIFORNIA,Harman,90,2010,D
39,39,2,CALIFORNIA,Herger,0,2010,R
40,40,15,CALIFORNIA,Honda,95,2010,D
41,41,52,CALIFORNIA,Hunter,0,2010,R
42,42,49,CALIFORNIA,Issa,0,2010,R
43,43,9,CALIFORNIA,Lee,95,2010,D
44,44,41,CALIFORNIA,Lewis Jerry,0,2010,R
45,45,16,CALIFORNIA,Lofgren,95,2010,D
46,46,3,CALIFORNIA,Lungren,0,2010,R
47,47,5,CALIFORNIA,Matsui,100,2010,D
48,48,22,CALIFORNIA,McCarthy K.,0,2010,R
49,49,4,CALIFORNIA,McClintock,0,2010,R
50,50,25,CALIFORNIA,McKeon,0,2010,R
51,51,11,CALIFORNIA,McNerney,85,2010,D
52,52,7,CALIFORNIA,Miller George,100,2010,D
53,53,42,CALIFORNIA,Miller Gary,0,2010,R
54,54,38,CALIFORNIA,Napolitano,100,2010,D
55,55,21,CALIFORNIA,Nunes,0,2010,R
56,56,19,CALIFORNIA,Radanovich,0,2010,R
57,57,37,CALIFORNIA,Richardson,95,2010,D
58,58,46,CALIFORNIA,Rohrabacher,5,2010,R
59,59,34,CALIFORNIA,RoybalAllard,100,2010,D
60,60,40,CALIFORNIA,Royce,0,2010,R
61,61,39,CALIFORNIA,Sanchez Linda,100,2010,D
62,62,47,CALIFORNIA,Sanchez Loretta,95,2010,D
63,63,29,CALIFORNIA,Schiff,90,2010,D
64,64,27,CALIFORNIA,Sherman,90,2010,D
65,65,12,CALIFORNIA,Speier,95,2010,D
66,66,13,CALIFORNIA,Stark,90,2010,D
67,67,1,CALIFORNIA,Thompson,100,2010,D
68,68,35,CALIFORNIA,Waters,90,2010,D
69,69,33,CALIFORNIA,Watson,85,2010,D
70,70,30,CALIFORNIA,Waxman,90,2010,D
71,71,6,CALIFORNIA,Woolsey,100,2010,D
72,72,6,COLORADO,Coffman,0,2010,R
73,73,1,COLORADO,DeGette,95,2010,D
74,74,5,COLORADO,Lamborn,5,2010,R
75,75,4,COLORADO,Markey B.,75,2010,D
76,76,7,COLORADO,Perlmutter,95,2010,D
77,77,2,COLORADO,Polis,90,2010,D
78,78,3,COLORADO,Salazar J.,60,2010,D
79,79,2,CONNECTICUT,Courtney,90,2010,D
80,80,3,CONNECTICUT,DeLauro,100,2010,D
81,81,4,CONNECTICUT,Himes,90,2010,D
82,82,1,CONNECTICUT,Larson J.,100,2010,D
83,83,5,CONNECTICUT,Murphy C.,95,2010,D
84,84,1,DELAWARE,Castle,50,2010,R
85,85,9,FLORIDA,Bilirakis,15,2010,R
86,86,2,FLORIDA,Boyd A.,80,2010,D
87,87,3,FLORIDA,Brown C.,100,2010,D
88,88,5,FLORIDA,BrownWaite G.,5,2010,R
89,89,13,FLORIDA,Buchanan,0,2010,R
90,90,11,FLORIDA,Castor,95,2010,D
91,91,4,FLORIDA,Crenshaw,5,2010,R
92,92,19,FLORIDA,Deutch,80,2010,D
93,93,21,FLORIDA,DiazBalart L.,25,2010,R
94,94,25,FLORIDA,DiazBalart M.,20,2010,R
95,95,8,FLORIDA,Grayson,100,2010,D
96,96,23,FLORIDA,Hastings A.,85,2010,D
97,97,22,FLORIDA,Klein R.,85,2010,D
98,98,24,FLORIDA,Kosmas,80,2010,D
99,99,14,FLORIDA,Mack,5,2010,R
100,100,17,FLORIDA,Meek K.,80,2010,D
101,101,7,FLORIDA,Mica,0,2010,R
102,102,1,FLORIDA,Miller J.,0,2010,R
103,103,15,FLORIDA,Posey,10,2010,R
104,104,12,FLORIDA,Putnam,0,2010,R
105,105,16,FLORIDA,Rooney,0,2010,R
106,106,18,FLORIDA,RosLehtinen,30,2010,R
107,107,6,FLORIDA,Stearns,0,2010,R
