,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
14044,1998,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,False,False,SONNY CALLAHAN,REPUBLICAN,False,TOTAL,112872,113564,False,20230706,False
14045,1998,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,False,False,WRITEIN,,True,TOTAL,692,113564,False,20230706,False
14046,1998,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,False,False,JOE FONDREN,DEMOCRAT,False,TOTAL,58136,189669,False,20230706,False
14047,1998,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,False,False,TERRY EVERETT,REPUBLICAN,False,TOTAL,131428,189669,False,20230706,False
14048,1998,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,False,False,WRITEIN,,True,TOTAL,105,189669,False,20230706,False
14049,1998,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,False,False,BOB RILEY,REPUBLICAN,False,TOTAL,101731,175217,False,20230706,False
14050,1998,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,False,False,JOE TURNHAM,DEMOCRAT,False,TOTAL,73357,175217,False,20230706,False
14051,1998,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,False,False,WRITEIN,,True,TOTAL,129,175217,False,20230706,False
14052,1998,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,False,False,DON BEVILL,DEMOCRAT,False,TOTAL,82065,188476,False,20230706,False
14053,1998,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,False,False,ROBERT B ADERHOLT,REPUBLICAN,False,TOTAL,106297,188476,False,20230706,False
14054,1998,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,False,False,WRITEIN,,True,TOTAL,114,188476,False,20230706,False
14055,1998,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,False,False,GIL AUST,REPUBLICAN,False,TOTAL,58536,193490,False,20230706,False
14056,1998,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,False,False,"ROBERT E ""BUD"" CRAMER JR",DEMOCRAT,False,TOTAL,134819,193490,False,20230706,False
14057,1998,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,False,False,WRITEIN,,True,TOTAL,135,193490,False,20230706,False
14058,1998,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,False,False,DONNA WESSON SMALLEY,DEMOCRAT,False,TOTAL,60657,215582,False,20230706,False
14059,1998,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,False,False,SPENCER BACHUS,REPUBLICAN,False,TOTAL,154761,215582,False,20230706,False
14060,1998,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,False,False,WRITEIN,,True,TOTAL,164,215582,False,20230706,False
14061,1998,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,False,False,EARL F HILLIARD,DEMOCRAT,False,TOTAL,136431,139181,False,20230706,False
14062,1998,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,False,False,WRITEIN,,True,TOTAL,2750,139181,False,20230706,False
14063,1998,ALASKA,AK,2,94,81,US HOUSE,0,GEN,False,False,DON YOUNG,REPUBLICAN,False,TOTAL,139676,223300,False,20230706,False
14064,1998,ALASKA,AK,2,94,81,US HOUSE,0,GEN,False,False,JIM DUNCAN,DEMOCRAT,False,TOTAL,77232,223300,False,20230706,False
14065,1998,ALASKA,AK,2,94,81,US HOUSE,0,GEN,False,False,"JOHN J G ""JOHNNY"" GRAMES",GREEN,False,TOTAL,5923,223300,False,20230706,False
14066,1998,ALASKA,AK,2,94,81,US HOUSE,0,GEN,False,False,WRITEIN,,True,TOTAL,469,223300,False,20230706,False
